,Interval,Country_Count,Percentage
0,<1M,44,22.797927461139896
1,1M-10M,77,39.89637305699482
2,10M-50M,50,25.906735751295333
3,50M-100M,12,6.217616580310881
4,100M-500M,8,4.145077720207254
5,>500M,2,1.0362694300518136
