Inter_esp_vida,Interval,Country_count,Percentage
<40,<40,3,1.5789473684210527
40-50,40-50,28,14.736842105263156
50-60,50-60,45,23.684210526315788
60-70,60-70,80,42.10526315789473
>70,>70,34,17.894736842105264
