,Interval,Country_count,Porcentage
0,<5,34,17.894736842105264
1,5-10,29,15.263157894736842
2,10-20,62,32.631578947368425
3,20-40,61,32.10526315789474
4,40-60,3,1.5789473684210527
5,>60,1,0.5263157894736842
